Type,Probability
granite,0.1517
rhyolite,0.0758
andesite,0.0506
diorite,0.0253
gabbro,0.0253
dacite,0.0253
trachyte,0.0253
obsidian,0.0101
pumice,0.0101
basalt,0.0152
scoria,0.0101
tuff,0.0101
pegmatite,0.0152
gneiss,0.1350
schist,0.1125
quartzite,0.0675
slate,0.0450
marble,0.0225
phyllite,0.0450
serpentinite,0.0135
lapislazuli,0.0090
sandstone,0.0150
shale,0.0125
limestone,0.0100
conglomerate,0.0050
chert,0.0025
dolomite,0.0025
marl,0.0015
chalk,0.0010
quartz,0.0093
feldspar,0.0069
calcite,0.0046
mica,0.0046
agate,0.0023
pyrite,0.0023
sapphire,0.0023
bauxite,0.0019
cassiterite,0.0019
chalcopyrite,0.0019
cinnabar,0.0014
galena,0.0014
gold,0.0014
hematite,0.0014
magnetite,0.0014
malachite,0.0014
sphalerite,0.0014
amethyst,0.0009
emerald,0.0009
ruby,0.0009
topaz,0.0009
